sessionId,contentId,eventId
user-000000,1149671,0
user-000001,1149671,0
user-000001,1149599,1
user-000002,1149817,0
user-000002,1149631,1
user-000003,1149880,0
user-000003,1149458,1
user-000003,1148499,2
user-000003,1149614,3
user-000004,1149784,0
user-000004,1149927,1
user-000004,1149971,2
user-000005,1149892,0
user-000005,1149697,1
user-000005,1149741,2
user-000006,1149878,0
user-000006,1149504,1
user-000007,1149671,0
user-000007,1149920,1
user-000008,1148570,0
user-000008,1149563,1
user-000008,1149735,2
user-000009,1149892,0
user-000009,1149614,1
user-000009,1149945,2
user-000009,1149663,3
user-000009,1149917,4
user-000010,1149634,0
user-000010,1149592,1
user-000011,1149892,0
user-000011,1149614,1
user-000011,1149663,2
user-000011,1149927,3
user-000011,1149671,4
user-000011,1149675,5
user-000012,1149883,0
user-000012,1149892,1
user-000013,1149671,0
user-000013,1149664,1
user-000014,1149671,0
user-000014,1149917,1
user-000015,1149669,0
user-000015,1149412,1
user-000016,1149757,0
user-000017,1149675,0
user-000017,1149671,1
user-000018,1149911,0
user-000018,1146699,1
user-000019,1149925,0
user-000019,1149740,1
user-000020,1149675,0
user-000020,1148570,1
user-000020,1007292,2
user-000021,1149600,0
user-000021,1149697,1
user-000022,1149892,0
user-000022,1149941,1
user-000022,1149759,2
user-000022,1149647,3
user-000022,1149479,4
user-000022,1149996,5
user-000023,1149740,0
user-000023,1149864,1
user-000023,1149892,2
user-000023,1149781,3
user-000024,1149626,0
user-000024,1149671,1
user-000025,1149653,0
user-000025,1149892,1
user-000025,1149799,2
user-000026,1149608,0
user-000027,1149882,0
user-000028,1149448,0
user-000028,1149499,1
user-000028,1149924,2
user-000029,1149892,0
user-000030,1149634,0
user-000030,1149599,1
user-000030,1149653,2
user-000030,1148570,3
user-000030,1149592,4
user-000031,1149784,0
user-000031,1149675,1
user-000031,1149634,2
user-000031,1149791,3
user-000031,1149650,4
user-000031,1149328,5
user-000031,1149614,6
user-000031,1149967,7
user-000032,1149614,0
user-000032,1086727,1
user-000033,1149671,0
user-000034,1149614,0
user-000034,1149892,1
user-000034,1149512,2
user-000035,1148418,0
user-000036,1147881,0
user-000036,1147881,1
user-000036,1147881,2
user-000037,1149653,0
user-000037,1148552,1
user-000037,1149675,2
user-000038,1149945,0
user-000038,1149892,1
user-000038,1149663,2
user-000038,1149917,3
user-000038,1149955,4
user-000039,1149614,0
user-000039,1149927,1
user-000039,1138882,2
user-000039,1149673,3
user-000039,1149491,4
user-000040,1149609,0
user-000040,1037002,1
user-000041,1149614,0
user-000041,1149892,1
user-000042,1149606,0
user-000042,1146930,1
user-000043,1149885,0
user-000043,1149542,1
user-000044,1149411,0
user-000044,1149375,1
user-000045,1149671,0
user-000046,1149259,0
user-000046,1149427,1
user-000047,1146930,0
user-000047,1149606,1
user-000048,1149623,0
user-000048,1149653,1
user-000048,1149462,2
user-000049,1149671,0
user-000049,1149892,1
user-000050,1149671,0
user-000051,1149599,0
user-000051,1149660,1
user-000051,1149664,2
user-000051,1149623,3
user-000051,1149375,4
user-000052,1149917,0
user-000052,1149614,1
user-000052,1149892,2
user-000053,1149892,0
user-000053,1149614,1
user-000054,1149892,0
user-000054,1149925,1
user-000055,1149757,0
user-000055,1149675,1
user-000055,1149759,2
user-000056,1149849,0
user-000056,1094626,1
user-000056,1137181,2
user-000056,1130391,3
user-000057,1149671,0
user-000058,1149671,0
user-000058,1149635,1
user-000058,1149892,2
user-000058,1149955,3
user-000059,1149671,0
user-000060,1149599,0
user-000060,1149677,1
user-000060,1149961,2
user-000060,1149973,3
user-000061,1148570,0
user-000061,1149599,1
user-000062,1149614,0
user-000062,1149955,1
user-000063,1149499,0
