docname,topic,proportion
airplayyk1-a5WzV9FF-20181128.mp3.txt,3,0.905355
airplayyk1-a5WzV9FF-20181128.mp3.txt,0,0.048802
airplayyk1-a5WzV9FF-20181128.mp3.txt,2,0.036338
airplayyk1-a5WzV9FF-20181128.mp3.txt,5,0.009505
calgwildrose-LKhl7t9B-20181115.mp3.txt,1,1.0
ottallinaday-5WH8ksC7-20181213.mp3.txt,1,0.996841
ottallinaday-5WH8ksC7-20181213.mp3.txt,0,0.003159
ottallinaday-lpjilwee-20190122.mp3.txt,3,0.502283
ottallinaday-lpjilwee-20190122.mp3.txt,4,0.235166
ottallinaday-lpjilwee-20190122.mp3.txt,5,0.146233
ottallinaday-lpjilwee-20190122.mp3.txt,1,0.116318
ottallinaday-8FDah5MT-20181207.mp3.txt,0,0.666427
ottallinaday-8FDah5MT-20181207.mp3.txt,1,0.308878
ottallinaday-8FDah5MT-20181207.mp3.txt,4,0.022719
ottallinaday-8FDah5MT-20181207.mp3.txt,2,0.001975
calgwildrose-9w0fs461-20181113.mp3.txt,0,0.926409
calgwildrose-9w0fs461-20181113.mp3.txt,2,0.038173
calgwildrose-9w0fs461-20181113.mp3.txt,1,0.019701
calgwildrose-9w0fs461-20181113.mp3.txt,3,0.015717
2050_20170608_49800.mp3.txt,0,0.860867
2050_20170608_49800.mp3.txt,2,0.070564
2050_20170608_49800.mp3.txt,3,0.059453
2050_20170608_49800.mp3.txt,5,0.009115
airplayyk1-SArX1n8D-20190117.mp3.txt,3,0.928183
airplayyk1-SArX1n8D-20190117.mp3.txt,0,0.057419
airplayyk1-SArX1n8D-20190117.mp3.txt,5,0.014399
calgwildrose-2JLGkCQt-20190104.mp3.txt,0,0.820444
calgwildrose-2JLGkCQt-20190104.mp3.txt,3,0.108823
calgwildrose-2JLGkCQt-20190104.mp3.txt,2,0.070733
ottallinaday-cIGiH3AL-20190123.mp3.txt,3,0.630332
ottallinaday-cIGiH3AL-20190123.mp3.txt,4,0.355883
ottallinaday-cIGiH3AL-20190123.mp3.txt,2,0.013785
airplayyk1-DVtasZGW-20181102.mp3.txt,3,0.899826
airplayyk1-DVtasZGW-20181102.mp3.txt,6,0.041034
airplayyk1-DVtasZGW-20181102.mp3.txt,0,0.039658
airplayyk1-DVtasZGW-20181102.mp3.txt,1,0.019482
calgwildrose-19T7Y6Ud-20190130.mp3.txt,0,0.478185
calgwildrose-19T7Y6Ud-20190130.mp3.txt,2,0.307409
calgwildrose-19T7Y6Ud-20190130.mp3.txt,3,0.208476
calgwildrose-19T7Y6Ud-20190130.mp3.txt,5,0.005929
airplayyk1-pBHS6ZhU-20181204.mp3.txt,3,0.90367
airplayyk1-pBHS6ZhU-20181204.mp3.txt,5,0.067113
airplayyk1-pBHS6ZhU-20181204.mp3.txt,0,0.026438
airplayyk1-pBHS6ZhU-20181204.mp3.txt,2,0.002779
calgwildrose-uFfERIvQ-20181205.mp3.txt,2,0.595419
calgwildrose-uFfERIvQ-20181205.mp3.txt,0,0.239685
calgwildrose-uFfERIvQ-20181205.mp3.txt,5,0.155793
calgwildrose-uFfERIvQ-20181205.mp3.txt,1,0.009103
airplayyk1-E5vcgz72-20181012.mp3.txt,3,0.807588
airplayyk1-E5vcgz72-20181012.mp3.txt,0,0.170813
airplayyk1-E5vcgz72-20181012.mp3.txt,2,0.021599
2050_20170601_85504.mp3.txt,2,0.951058
2050_20170601_85504.mp3.txt,0,0.048942
airplayyk1-NllmW08x-20181115.mp3.txt,3,0.956748
airplayyk1-NllmW08x-20181115.mp3.txt,0,0.039844
airplayyk1-NllmW08x-20181115.mp3.txt,2,0.003408
ottallinaday-95mCuXlh-20190124.mp3.txt,4,0.84942
ottallinaday-95mCuXlh-20190124.mp3.txt,0,0.093584
ottallinaday-95mCuXlh-20190124.mp3.txt,5,0.056996
calgwildrose-3tORHPra-20181220.mp3.txt,0,0.851735
calgwildrose-3tORHPra-20181220.mp3.txt,6,0.068193
calgwildrose-3tORHPra-20181220.mp3.txt,2,0.059581
calgwildrose-3tORHPra-20181220.mp3.txt,1,0.020491
airplayyk1-myJmPcgZ-20181025.mp3.txt,4,0.827308
airplayyk1-myJmPcgZ-20181025.mp3.txt,3,0.118451
airplayyk1-myJmPcgZ-20181025.mp3.txt,5,0.029852
airplayyk1-myJmPcgZ-20181025.mp3.txt,0,0.024389
calgwildrose-l1OMxDUL-20190121.mp3.txt,0,0.954834
